sno,hart,temp
1,555,98
2,571,98
3,607,98
4,578,98
5,577,98
6,620,98
7,589,98
8,588,98
9,616,98
10,622,98
11,641,98
12,633,98
13,643,98
14,623,98
15,609,98
16,618,98
17,696,98
18,704,98
19,679,98
20,687,98
21,634,98
22,474,98
23,499,98
24,470,98
25,534,98
26,513,98
27,528,98
28,528,98
29,365,98
30,498,98
31,490,98
32,463,98
33,477,98
34,486,98
35,483,98
36,441,98
37,422,98
38,438,98
39,443,98
40,439,98
41,440,98
42,469,98
43,456,98
44,460,98
45,466,98
46,459,98
47,435,98
48,447,98
49,493,98
50,510,98
51,508,98
52,564,98
53,528,98
54,485,98
55,583,98
56,591,98
57,564,98
58,589,98
59,594,98
60,591,98
61,590,98
62,622,98
63,662,98
64,635,98
65,620,98
66,631,98
67,621,98
68,620,98
69,669,98
70,711,98
71,700,98
72,675,98
73,665,98
74,534,98
75,540,98
76,519,98
77,513,98
78,539,98
79,473,98
80,509,98
81,412,98
82,472,98
83,529,98
84,462,98
85,472,98
86,489,98
87,468,98
88,451,98
89,436,98
90,443,98
91,436,98
92,438,98
93,447,98
94,446,98
95,456,98
96,484,98
97,474,98
98,444,98
99,425,98
100,467,98
101,480,98
102,513,98
103,525,98
104,545,98
105,527,98
106,544,98
107,664,98
108,584,98
109,571,98
110,605,98
111,587,98
112,587,98
113,614,98
114,620,98
115,642,98
116,636,98
117,642,98
118,617,98
119,615,98
120,620,98
121,670,98
122,680,98
123,698,98
124,683,98
125,494,98
126,563,98
127,564,98
128,497,98
129,502,98
130,548,98
131,503,98
132,504,98
133,475,98
134,497,98
135,472,98
136,494,98
137,485,98
138,467,98
139,448,98
140,433,98
141,429,98
142,441,98
143,459,98
144,444,98
145,445,98
146,459,98
147,462,98
148,466,98
149,461,98
150,426,98
151,427,98
152,481,98
153,494,98
154,509,98
155,540,98
156,563,98
157,581,98
158,650,98
159,572,98
160,577,98
161,596,98
162,594,98
163,607,98
164,611,98
165,625,98
166,645,98
167,627,98
168,628,98
169,635,98
170,621,98
171,608,98
172,696,98
173,716,98
174,698,98
175,652,98
176,596,98
177,542,98
178,547,98
179,518,98
180,526,98
181,522,98
182,516,98
183,461,98
184,496,98
185,512,98
186,468,98
187,481,98
188,475,98
189,480,98
190,441,98
191,414,98
192,434,98
193,432,98
194,438,98
195,446,98
196,459,98
197,455,98
198,455,98
199,464,98
200,350,98
201,414,98
202,490,98
203,495,98
204,503,98
205,532,98
206,525,98
207,570,98
208,536,98
209,616,98
210,580,98
211,581,98
212,576,98
213,603,98
214,596,98
215,630,98
216,656,98
217,648,98
218,625,98
219,634,98
220,622,98
221,624,98
222,698,98
223,726,98
224,678,98
225,684,98
226,562,98
227,506,98
228,535,98
229,563,98
230,503,98
231,486,98
232,528,98
233,501,98
234,417,98
235,498,98
236,504,98
237,474,98
238,478,98
239,479,98
240,444,98
241,439,98
242,429,98
243,446,98
244,432,98
245,443,98
246,448,98
247,448,98
248,454,98
249,472,98
250,457,98
251,426,98
252,447,98
253,469,98
254,483,98
255,507,98
256,516,98
257,575,98
258,570,98
259,541,98
260,581,98
261,555,98
262,604,98
263,602,98
264,600,98
265,588,98
266,631,98
267,651,98
268,640,98
269,628,98
270,652,98
271,621,98
272,620,98
273,693,98
274,689,98
275,724,98
276,711,98
277,599,98
278,542,98
279,510,98
280,533,98
281,551,98
282,573,98
283,533,98
284,500,98
285,378,98
286,475,98
287,502,98
288,459,98
289,478,98
290,490,98
291,463,98
292,435,98
293,423,98
294,430,98
295,435,98
296,438,98
297,464,98
298,442,98
299,464,98
300,461,98
301,460,98
302,441,98
303,411,98
304,455,98
305,484,98
306,503,98
307,469,98
308,531,98
309,484,98
310,566,98
311,656,98
312,585,98
313,578,98
314,585,98
315,583,98
316,595,98
317,635,98
318,611,98
319,635,98
320,641,98
321,636,98
322,633,98
323,634,98
324,630,98
325,703,98
326,734,98
327,683,98
328,703,98
329,527,98
330,546,98
331,502,98
332,538,98
333,541,98
334,558,98
335,554,98
336,517,98
337,439,98
338,495,98
339,488,98
340,489,98
341,491,98
342,480,98
343,486,98
344,440,98
345,419,98
346,428,98
347,456,98
348,434,98
349,443,98
350,452,98
351,441,98
352,456,98
353,452,98
354,465,98
355,355,98
356,426,98
357,466,98
358,487,98
359,471,98
360,516,98
361,562,98
362,547,98
363,564,98
364,558,98
365,560,98
366,597,98
367,595,98
368,586,98
369,606,98
370,635,98
371,628,98
372,647,98
373,633,98
374,631,98
375,625,98
376,647,98
377,629,98
378,704,98
379,718,98
380,685,98
381,690,98
382,586,98
383,549,98
384,516,98
385,490,98
386,538,98
387,543,98
388,554,98
389,512,98
390,519,98
391,489,98
392,484,98
393,477,98
394,468,98
395,465,98
396,458,98
397,451,98
398,411,98
399,437,98
400,442,98
401,434,98
402,448,98
403,460,98
404,462,98
405,453,98
406,465,98
407,425,98
408,424,98
409,443,98
410,484,98
411,459,98
412,524,98
413,508,98
414,534,98
415,529,98
416,662,98
417,596,98
418,552,98
419,595,98
420,600,98
421,596,98
422,601,98
423,643,98
424,646,98
425,631,98
426,635,98
427,632,98
428,626,98
429,636,98
430,699,98
431,700,98
432,738,98
433,694,98
434,641,98
435,592,98
436,526,98
437,550,98
438,494,98
439,486,98
440,563,98
441,487,98
442,472,98
443,492,98
444,503,98
445,473,98
446,471,98
447,475,98
448,468,98
449,459,98
450,432,98
451,420,98
452,429,98
453,440,98
454,442,98
455,457,98
456,474,98
457,452,98
458,455,98
459,460,98
460,424,98
461,456,98
462,469,98
463,492,98
464,496,98
465,533,98
466,563,98
467,479,98
468,592,98
469,603,98
470,559,98
471,582,98
472,594,98
473,587,98
474,600,98
475,644,98
476,647,98
477,636,98
478,634,98
479,634,98
480,615,98
481,636,98
482,702,98
483,690,98
484,710,98
485,728,98
486,617,98
487,545,98
488,588,98
489,536,98
490,508,98
491,580,98
492,539,98
493,555,98
494,482,98
495,509,98
496,494,98
497,476,98
498,484,98
499,480,98
500,468,98
501,453,98
502,422,98
503,426,98
504,453,98
505,438,98
506,446,98
507,451,98
508,461,98
509,449,98
510,462,98
511,443,98
512,370,98
513,433,98
514,496,98
515,468,98
516,513,98
517,529,98
518,545,98
519,559,98
520,722,98
521,557,98
522,572,98
523,603,98
